ID,Date,Provider,Service,Resource ID,Amount,Currency,Cost Center,Team,Environment
be68e0f8-9f38-4023-be6c-b94ef6a3a220,2026-05-27,AWS,EC2,aws-ec2-res,125.87,USD,Engineering,Backend Core,Production
4fe476ce-0d1a-4b15-acfb-e4975263fde9,2026-05-27,AWS,RDS,aws-rds-res,79.07,USD,Engineering,Backend Core,Production
b9e838e7-f066-4c03-94bf-adc9caf836a0,2026-05-27,AWS,S3,aws-s3-res,35.67,USD,Engineering,Data Platform,Production
4de6389b-00f2-466d-872b-2605cc1b52db,2026-05-27,AWS,Lambda,aws-lambda-res,8.68,USD,Finance,Payments,Production
42d98706-18db-44e1-8fcb-17f38f1c1033,2026-05-28,AWS,EC2,aws-ec2-res,114.35,USD,Engineering,Backend Core,Production
605f2b76-700d-4081-bf63-ba84952e95dc,2026-05-28,AWS,RDS,aws-rds-res,75.09,USD,Engineering,Backend Core,Production
dac40051-48f6-4907-be3d-ed32f97f8d9d,2026-05-28,AWS,S3,aws-s3-res,32.0,USD,Engineering,Data Platform,Production
89be09df-57ca-483b-acbb-d8b576b1e6dc,2026-05-28,AWS,Lambda,aws-lambda-res,9.04,USD,Finance,Payments,Production
9841e5b7-a3e4-4aee-9f04-2573fdab17c6,2026-05-29,AWS,EC2,aws-ec2-res,116.2,USD,Engineering,Backend Core,Production
72115f1b-c472-4e17-a6b0-d89554dd018b,2026-05-29,AWS,RDS,aws-rds-res,77.85,USD,Engineering,Backend Core,Production
4740be43-c6e5-4377-8420-066f7c16ce99,2026-05-29,AWS,S3,aws-s3-res,32.43,USD,Engineering,Data Platform,Production
8e6bd2d5-a639-4c78-9846-54f1e0eaa9b6,2026-05-29,AWS,Lambda,aws-lambda-res,9.63,USD,Finance,Payments,Production
f2ffc4f8-fe15-4aad-b921-c0dec905b7e8,2026-05-30,AWS,EC2,aws-ec2-res,98.82,USD,Engineering,Backend Core,Production
f2832e6b-7d69-44fa-971a-a6fbd056bb00,2026-05-30,AWS,RDS,aws-rds-res,62.43,USD,Engineering,Backend Core,Production
89e0ba69-754d-49ca-b473-ac23f936baf9,2026-05-30,AWS,S3,aws-s3-res,25.85,USD,Engineering,Data Platform,Production
0260c1cb-b86e-48a0-b93a-c8e3d5f98d4d,2026-05-30,AWS,Lambda,aws-lambda-res,7.3,USD,Finance,Payments,Production
720e5204-5914-45bb-884a-28738b604711,2026-05-31,AWS,EC2,aws-ec2-res,97.76,USD,Engineering,Backend Core,Production
65bf9074-1c54-439c-a57d-fd33eabe5ed4,2026-05-31,AWS,RDS,aws-rds-res,68.74,USD,Engineering,Backend Core,Production
